COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,LAST LOCATION DATE,MODEL,OBSERVING NETWORKS,PROGRAM,REF,SERIAL NUMBER,STATUS
Ireland,2022-08-20T12:00:00,52.999,-15.52,,FLOAT,Argo,Argo IRELAND,6901936,8350,CONFIRMED
Italy,2021-11-11T09:43:00,41.53,18.06,2022-01-28T11:34:00,PROVOR_IV,Argo,Argo ITALY,6903805,P43208-20IT001,INACTIVE
United States,2020-02-17T13:13:00,-36.9833,92.5917,2022-03-08T14:50:26,APEX,Argo,Argo UW-SOCCOM,5906219,8722,OPERATIONAL
European Union,2021-04-03T18:09:00,0.0313,-22.9729,2022-03-02T17:40:00,PROVOR_III,Argo,EuroSea Argo,6903876,P43200-20EU006,OPERATIONAL
United States,2020-03-21T02:17:00,0.0167,-140.06,2022-03-04T15:31:59,APEX,Argo,Argo UW-TPOS eq.,5906235,8699,OPERATIONAL
United States,2020-03-09T15:29:00,36.6633,-122.3633,2020-09-02T09:46:44,APEX,Argo,Argo UW-SOCCOM,5906243,8686,INACTIVE
United States,2020-09-15T07:49:00,2.07,179.97,2022-03-01T17:06:32,APEX,Argo,Argo UW-TPOS eq.,5906302,8914,OPERATIONAL
United States,2020-09-13T23:34:00,4.95,180,2022-02-28T04:08:55,APEX,Argo,Argo UW-TPOS eq.,5906303,8915,OPERATIONAL
Germany,2021-08-15T00:00:00,56.63,-52.62,2022-03-04T11:09:00,PROVOR_IV,Argo,Argo GERMANY 2025,6904114,P43200-20DE101,OPERATIONAL
United States,2020-10-30T12:44:00,-44.96,-80.47,2022-03-04T06:03:44,APEX,Argo,Argo UW-SOCCOM,5906308,1116,OPERATIONAL
United States,2021-03-27T09:18:00,35.89,-52.33,,APEX,Argo,"Argo GO-BGC, UW ",5906341,9064,REGISTERED
United States,2021-12-05T05:31:00,0.49,-139.89,2022-03-08T20:20:16,APEX,Argo,Argo UW,5906473,9404,OPERATIONAL
United States,2021-11-27T19:56:00,14.05,-140.02,2022-03-01T08:51:34,APEX,Argo,Argo UW,5906471,9373,OPERATIONAL
United States,2022-01-14T03:00:00,31.718,-64.1512,2022-03-01T06:02:00,NAVIS_EBR,Argo,"Argo GO-BGC, WHOI",4903274,1357,OPERATIONAL
United States,2022-02-16T08:33:00,-34.51,-39.72,2022-02-27T10:33:09,APEX,Argo,"Argo GO-BGC, UW ",5906489,9183,OPERATIONAL
United States,2013-05-20T03:00:00,22.7367,-157.9216,2016-06-02T05:14:06,APEX,Argo,Argo UW-MBARI,5904124,6430,CLOSED
United States,2014-12-12T00:00:00,-56.1893,0.0267,2015-06-02T06:56:42,NAVIS_A,Argo,Argo UW-SOCCOM,5904477,509,CLOSED
United States,2015-12-28T15:16:00,-54.26,-89.25,2020-05-30T09:48:36,APEX,Argo,Argo UW-SOCCOM,5904661,7294,INACTIVE
United States,2016-02-10T03:28:00,35.9,-124.71,2016-04-09T23:21:42,APEX,Argo,Argo UW-SOCCOM,5904680,6216,CLOSED
United States,2016-04-07T03:20:00,-51.95,148.67,2020-08-19T01:37:19,APEX,Argo,Argo UW-SOCCOM,5904678,7452,INACTIVE
United States,2016-05-04T12:46:00,-66.34,-170,2017-11-06T13:55:59,NAVIS_A,Argo,Argo UW-SOCCOM,5904768,570,INACTIVE
United States,2017-01-12T02:54:00,-45.01,-102.99,2021-05-30T06:17:32,APEX,Argo,Argo UW-SOCCOM,5904841,7753,INACTIVE
United States,2017-09-16T08:00:00,-39.1133,-10.9133,2021-07-14T19:45:59,APEX,Argo,Argo UW-SOCCOM,5905133,8051,INACTIVE
United Kingdom,2017-11-15T14:30:00,-52.705,-40.1067,2021-11-29T17:20:28,APEX,Argo,Argo UK,3901545,8143,INACTIVE
United States,2018-01-27T06:20:00,-60.3267,139.8883,2022-03-08T07:09:56,APEX,Argo,Argo UW-SOCCOM,5905373,7968,OPERATIONAL
European Union,2017-11-15T00:00:00,43.66,7.34,2018-04-16T06:37:55,PROVOR_IV,Argo,LOV_ATLANTOS,6902879,P52208-17FR001,CLOSED
United States,2018-03-29T07:48:00,-67.0117,-173.8133,2022-03-04T02:47:39,APEX,Argo,Argo UW-SOCCOM,5905635,8056,OPERATIONAL
United States,2019-03-09T17:45:00,-60.3117,-30.9667,2021-11-18T05:28:59,APEX,Argo,Argo UW-SOCCOM,5906005,7971,INACTIVE
United States,2019-03-23T12:41:00,-57.5667,15.3417,2019-07-13T04:50:51,APEX,Argo,Argo UW-SOCCOM,5906008,8353,INACTIVE
United States,2019-05-06T01:53:00,-44.9583,29.0883,2022-03-02T07:07:28,APEX,Argo,Argo UW-SOCCOM,5906032,8365,OPERATIONAL
United States,2019-05-10T12:44:00,-35.025,29.9883,2022-03-05T10:52:41,NAVIS_A,Argo,Argo UW-SOCCOM,5906036,0889,OPERATIONAL
Japan,2019-06-02T04:24:00,47.073,160.0056,2020-09-23T10:18:31,NAVIS_EBR,Argo,Argo eq. JAMSTEC,2903396,955,INACTIVE
United States,2019-12-10T01:52:00,-60.16,-89.03,2020-09-24T01:50:48,APEX,Argo,Argo UW-SOCCOM,5906212,8687,INACTIVE
United States,2020-01-18T06:33:00,-58.2,55.25,2022-02-28T19:01:20,APEX,Argo,Argo UW-SOCCOM,5906211,8727,OPERATIONAL
United States,2020-01-21T01:05:00,-52.8917,81.2517,2022-03-04T23:07:58,APEX,Argo,Argo UW-SOCCOM,5906220,8731,OPERATIONAL
United States,2020-03-24T16:55:00,-40.9717,3.0283,2022-03-06T11:22:52,APEX,Argo,Argo UW-SOCCOM,5906250,8730,OPERATIONAL
United States,2020-09-01T07:58:00,2.09,164.88,2022-02-27T11:00:41,APEX,Argo,Argo UW-TPOS eq.,5906300,8912,OPERATIONAL
United States,2020-10-26T22:32:00,-31.94,-88,2022-03-01T01:04:30,APEX,Argo,Argo UW-SOCCOM,5906305,1113,OPERATIONAL
France,2020-12-22T16:41:06,17.17,-107.46,2022-03-03T17:21:00,PROVOR_V,Argo,Argo FPAII-GMMC,6903093,P53434-19FR001,OPERATIONAL
Japan,2020-08-21T04:08:00,49.9865,164.9633,2021-05-18T14:25:43,NAVIS_EBR,Argo,Argo eq. JAMSTEC,2903392,0954,INACTIVE
Australia,2020-12-27T07:12:00,-55.83,138.73,2022-03-07T13:28:43,PROVOR_V,Argo,Argo AUSTRALIA,5906624,P53435-20AU002,OPERATIONAL
United States,2021-01-18T21:30:00,-53.0817,-149.7717,2022-03-07T02:04:26,APEX,Argo,Argo UW-SOCCOM,5906316,8925,OPERATIONAL
United States,2021-01-16T21:14:00,-47.6767,-150.0583,2022-03-03T10:10:36,NAVIS_A,Argo,Argo UW-SOCCOM,5906311,1205,OPERATIONAL
United States,2021-01-14T07:55:00,-45.945,-150.0333,2022-03-01T11:55:57,APEX,Argo,Argo UW-SOCCOM,5906319,9069,OPERATIONAL
United States,2021-01-12T14:40:00,-41.9617,-149.9467,2022-02-27T19:51:32,NAVIS_A,Argo,Argo UW-SOCCOM,5906310,1204,OPERATIONAL
Australia,2021-02-27T21:09:00,-61.98,69.99,2021-05-08T08:02:44,APEX,Argo,Argo AUSTRALIA,7900915,9167,INACTIVE
United States,2021-03-25T00:03:00,40.17,-52.42,2022-03-02T05:14:06,APEX,Argo,"Argo GO-BGC, UW ",5906342,8930,OPERATIONAL
Australia,2021-05-09T18:34:52,-37.99,150.71,2022-03-06T01:24:00,PROVOR_III,Argo,Argo AUSTRALIA,5906635,P43208-20AU001,OPERATIONAL
United States,2021-05-05T05:13:00,49.2788,-14.8661,2022-03-07T02:55:37,NAVIS_EBR,Argo,Argo WHOI,1902303,1201,OPERATIONAL
United States,2021-10-20T03:25:00,-17.48,-113.19,2022-03-03T05:32:05,APEX,Argo,"Argo GO-BGC, UW ",5906448,9397,OPERATIONAL
United States,2021-11-23T18:57:00,21.76,-135.39,2022-03-07T05:32:11,APEX,Argo,Argo UW,5906469,9399,OPERATIONAL
United States,2021-12-10T21:02:00,6.53,-146.59,2022-03-04T08:36:17,APEX,Argo,Argo UW,5906475,9406,OPERATIONAL
United States,2022-01-11T13:59:00,13.9,-103.73,2022-01-22T19:35:02,APEX,Argo,Argo UW,5906485,9402,INACTIVE
United States,2022-01-18T20:12:00,18.2064,-38.0015,2022-02-27T17:01:00,NAVIS_EBR,Argo,"Argo GO-BGC, WHOI",1902380,1345,OPERATIONAL
United States,2022-01-16T22:44:00,17.2845,-33.5009,2022-03-08T13:38:19,NAVIS_EBR,Argo,"Argo GO-BGC, WHOI",1902381,1347,OPERATIONAL
United States,2022-02-18T09:37:00,-57.97,118.47,2022-03-01T03:30:43,APEX,Argo,Argo UW,5906442,1120,OPERATIONAL
United States,2013-09-14T02:14:00,22.6784,-157.9883,2013-10-01T18:06:45,APEX,Argo,Argo UW-MBARI,5904132,6429,CLOSED
